scenario,records,categories,chi_square,degrees_of_freedom,p_value,cramers_v,delta_cramers_v_vs_all
all_top_categories,33378,12,488.4864130821447,22,1.8325764209171832e-89,0.08554233313755023,0.0
other_excluded,14294,11,422.7699288381154,20,3.814008026896547e-77,0.12160744325322516,0.03607
