drop_rate,replicate,rank_correlation
0.3,54,0.93864
0.3,55,0.92283
0.3,56,0.93063
0.3,57,0.88874
0.3,58,0.82365
0.3,59,0.85493
0.3,60,0.75419
0.3,61,0.91549
0.3,62,0.92532
0.3,63,0.8826
0.3,64,0.90643
0.3,65,0.92915
0.3,66,0.94614
0.3,67,0.93756
0.3,68,0.66503
0.3,69,0.91235
0.3,70,0.76474
0.3,71,0.91221
0.3,72,0.95423
0.3,73,0.77573
0.3,74,0.97864
0.3,75,0.9248
0.3,76,0.91161
0.3,77,0.88705
0.3,78,0.84872
0.3,79,0.87907
0.3,80,0.90944
0.3,81,0.85534
0.3,82,0.81661
0.3,83,0.87615
0.3,84,0.91028
0.3,85,0.93911
0.3,86,0.87967
0.3,87,0.84371
0.3,88,0.95534
0.3,89,0.96442
0.3,90,0.86182
0.3,91,0.8731
0.3,92,0.79245
0.3,93,0.91253
0.3,94,0.90794
0.3,95,0.87493
0.3,96,0.81394
0.3,97,0.81426
0.3,98,0.94267
0.3,99,0.94143
0.3,100,0.85351
