major_category,category_label,category_n,feature,feature_label,analysis_role,observed_count,observed_prevalence,observed_prevalence_ci_low,observed_prevalence_ci_high,null_mean_count,null_median_prevalence,null_prevalence_ci_low,null_prevalence_ci_high,observed_to_null_ratio,prevalence_difference,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,empirical_p_positive,empirical_p_negative,empirical_p_two_sided,valid_permutations,stratification,benjamini_hochberg_q
タヌキ,Tanuki,1268,death_ritual,Death ritual,screened cell,73,0.05757,0.04604,0.07178,186.145,0.14669,0.12855,0.16562,0.39217,-0.08923,0.34385,0.27095,0.43637,1.0,0.0001,0.0001,10000,prefecture,0.000211
タヌキ,Tanuki,1268,taboo_time_weather,"Taboo, time, or weather",screened cell,341,0.26893,0.24525,0.294,279.317,0.22003,0.19795,0.24211,1.22084,0.04865,1.36611,1.2032,1.55109,0.0001,1.0,0.0001,10000,prefecture,0.000211
タヌキ,Tanuki,1268,actors,Actors,screened cell,355,0.27997,0.25595,0.30532,341.683,0.26972,0.24604,0.29259,1.03897,0.0105,1.03855,0.91649,1.17687,0.19758,0.820418,0.409059,10000,prefecture,0.458758
タヌキ,Tanuki,1268,actions,Actions,screened cell,178,0.14038,0.12234,0.16059,137.396,0.10804,0.09227,0.12461,1.29552,0.03202,1.34914,1.147,1.58692,0.0003,0.9998,0.0003,10000,prefecture,0.00059
タヌキ,Tanuki,1268,strict_boundary_interface,Strict interface,screened cell,132,0.1041,0.08847,0.12212,176.123,0.1388,0.12145,0.15773,0.74948,-0.0348,0.73546,0.61245,0.88317,0.9999,0.0003,0.0008,10000,prefecture,0.001391
テング,Tengu,1224,hydrology,Water setting,screened cell,157,0.12827,0.11069,0.14817,252.744,0.2067,0.18464,0.22876,0.62118,-0.07822,0.54668,0.46137,0.64776,1.0,0.0001,0.0001,10000,prefecture,0.000211
テング,Tengu,1224,mobility,Mobility,screened cell,135,0.11029,0.09395,0.12908,197.928,0.16176,0.14216,0.18219,0.68206,-0.05141,0.60381,0.50375,0.72375,1.0,0.0001,0.0001,10000,prefecture,0.000211
テング,Tengu,1224,boundary,Boundary,screened cell,181,0.14788,0.12909,0.16886,232.91,0.19036,0.16993,0.2116,0.77713,-0.04241,0.75583,0.64389,0.88724,1.0,0.0001,0.0004,10000,prefecture,0.000762
テング,Tengu,1224,livelihood,Livelihood,screened cell,181,0.14788,0.12909,0.16886,224.162,0.18301,0.16258,0.20425,0.80745,-0.03526,0.72097,0.61423,0.84625,0.9996,0.0008,0.0025,10000,prefecture,0.004
テング,Tengu,1224,dwelling,Dwelling,screened cell,207,0.16912,0.14916,0.19115,292.153,0.23938,0.21569,0.26225,0.70853,-0.06957,0.60875,0.52314,0.70837,1.0,0.0001,0.0001,10000,prefecture,0.000211
テング,Tengu,1224,death_ritual,Death ritual,screened cell,35,0.02859,0.02063,0.03951,172.342,0.14052,0.12173,0.16013,0.20308,-0.11221,0.16444,0.11733,0.23046,1.0,0.0001,0.0001,10000,prefecture,0.000211
テング,Tengu,1224,taboo_time_weather,"Taboo, time, or weather",screened cell,266,0.21732,0.19512,0.24129,260.743,0.21324,0.19036,0.23611,1.02016,0.00429,1.01868,0.887,1.16992,0.363364,0.661934,0.746125,10000,prefecture,0.785395
テング,Tengu,1224,actors,Actors,screened cell,307,0.25082,0.22734,0.27586,324.965,0.26552,0.24183,0.28922,0.94472,-0.01468,0.88918,0.77958,1.01418,0.891811,0.122488,0.244376,10000,prefecture,0.276652
テング,Tengu,1224,actions,Actions,screened cell,124,0.10131,0.08563,0.11948,130.472,0.10621,0.08987,0.12337,0.9504,-0.00529,0.91671,0.75888,1.10735,0.748425,0.285271,0.59564,10000,prefecture,0.643936
テング,Tengu,1224,strict_boundary_interface,Strict interface,screened cell,136,0.11111,0.09471,0.12995,168.576,0.13807,0.11928,0.15605,0.80676,-0.02661,0.79327,0.66187,0.95075,0.998,0.0026,0.005,10000,prefecture,0.007791
オニ,Oni,807,hydrology,Water setting,screened cell,127,0.15737,0.13388,0.18411,168.76,0.20942,0.18092,0.23668,0.75255,-0.05175,0.70141,0.57927,0.84931,1.0,0.0001,0.0001,10000,prefecture,0.000211
オニ,Oni,807,mobility,Mobility,screened cell,195,0.24164,0.21337,0.27235,135.414,0.16729,0.1425,0.19331,1.44003,0.07384,1.5972,1.35589,1.88145,0.0001,1.0,0.0001,10000,prefecture,0.000211
オニ,Oni,807,boundary,Boundary,screened cell,179,0.22181,0.1945,0.25175,154.608,0.19083,0.16605,0.21809,1.15777,0.03023,1.26072,1.06531,1.49197,0.013999,0.988301,0.023298,10000,prefecture,0.031413
オニ,Oni,807,livelihood,Livelihood,screened cell,172,0.21314,0.18627,0.24271,155.156,0.19207,0.16605,0.21933,1.10856,0.02087,1.14139,0.96226,1.35387,0.068893,0.942606,0.130687,10000,prefecture,0.153749
オニ,Oni,807,dwelling,Dwelling,screened cell,236,0.29244,0.2621,0.32475,198.025,0.24535,0.21685,0.27388,1.19177,0.04706,1.26356,1.08348,1.47357,0.0016,0.9985,0.002,10000,prefecture,0.003287
