reported_quantity,value,source_file,json_path
resolution_sensitivity.polygon_summary.support_units_by_resolution.prefecture,47,results.json,resolution_sensitivity.polygon_summary.support_units_by_resolution.prefecture
resolution_sensitivity.polygon_summary.samples_per_support,128,results.json,resolution_sensitivity.polygon_summary.samples_per_support
resolution_sensitivity.polygon_summary.municipality_comparisons,452,results.json,resolution_sensitivity.polygon_summary.municipality_comparisons
resolution_sensitivity.polygon_summary.support_area_reduction_percent.n,452,results.json,resolution_sensitivity.polygon_summary.support_area_reduction_percent.n
resolution_sensitivity.polygon_summary.support_area_reduction_percent.median,97.542,results.json,resolution_sensitivity.polygon_summary.support_area_reduction_percent.median
resolution_sensitivity.polygon_summary.support_area_reduction_percent.q25,94.648,results.json,resolution_sensitivity.polygon_summary.support_area_reduction_percent.q25
resolution_sensitivity.polygon_summary.support_area_reduction_percent.q75,98.908,results.json,resolution_sensitivity.polygon_summary.support_area_reduction_percent.q75
resolution_sensitivity.polygon_summary.absolute_change_sample_median_distance_to_coast_km.n,452,results.json,resolution_sensitivity.polygon_summary.absolute_change_sample_median_distance_to_coast_km.n
resolution_sensitivity.polygon_summary.absolute_change_sample_median_distance_to_coast_km.median,9.195,results.json,resolution_sensitivity.polygon_summary.absolute_change_sample_median_distance_to_coast_km.median
resolution_sensitivity.polygon_summary.absolute_change_sample_median_distance_to_coast_km.q25,4.245,results.json,resolution_sensitivity.polygon_summary.absolute_change_sample_median_distance_to_coast_km.q25
resolution_sensitivity.polygon_summary.absolute_change_sample_median_distance_to_coast_km.q75,16.954,results.json,resolution_sensitivity.polygon_summary.absolute_change_sample_median_distance_to_coast_km.q75
resolution_sensitivity.polygon_summary.absolute_change_sample_median_distance_to_major_water_km.n,452,results.json,resolution_sensitivity.polygon_summary.absolute_change_sample_median_distance_to_major_water_km.n
resolution_sensitivity.polygon_summary.absolute_change_sample_median_distance_to_major_water_km.median,0.063,results.json,resolution_sensitivity.polygon_summary.absolute_change_sample_median_distance_to_major_water_km.median
resolution_sensitivity.polygon_summary.absolute_change_sample_median_distance_to_major_water_km.q25,0.027,results.json,resolution_sensitivity.polygon_summary.absolute_change_sample_median_distance_to_major_water_km.q25
resolution_sensitivity.polygon_summary.absolute_change_sample_median_distance_to_major_water_km.q75,0.11,results.json,resolution_sensitivity.polygon_summary.absolute_change_sample_median_distance_to_major_water_km.q75
archive_language.focal_associations[0].category_n,1412,results.json,archive_language.focal_associations[0].category_n
archive_language.focal_associations[0].observed_count,1101,results.json,archive_language.focal_associations[0].observed_count
archive_language.focal_associations[0].observed_prevalence,0.77975,results.json,archive_language.focal_associations[0].observed_prevalence
archive_language.focal_associations[0].observed_prevalence_ci_low,0.75739,results.json,archive_language.focal_associations[0].observed_prevalence_ci_low
archive_language.focal_associations[0].observed_prevalence_ci_high,0.80059,results.json,archive_language.focal_associations[0].observed_prevalence_ci_high
archive_language.focal_associations[0].null_mean_count,326.154,results.json,archive_language.focal_associations[0].null_mean_count
archive_language.focal_associations[0].null_median_prevalence,0.23088,results.json,archive_language.focal_associations[0].null_median_prevalence
archive_language.focal_associations[0].null_prevalence_ci_low,0.21034,results.json,archive_language.focal_associations[0].null_prevalence_ci_low
archive_language.focal_associations[0].null_prevalence_ci_high,0.25212,results.json,archive_language.focal_associations[0].null_prevalence_ci_high
archive_language.focal_associations[0].observed_to_null_ratio,3.3757,results.json,archive_language.focal_associations[0].observed_to_null_ratio
archive_language.focal_associations[0].prevalence_difference,0.54876,results.json,archive_language.focal_associations[0].prevalence_difference
archive_language.focal_associations[0].odds_ratio,15.72207,results.json,archive_language.focal_associations[0].odds_ratio
archive_language.focal_associations[0].odds_ratio_ci_low,13.8192,results.json,archive_language.focal_associations[0].odds_ratio_ci_low
archive_language.focal_associations[0].odds_ratio_ci_high,17.88697,results.json,archive_language.focal_associations[0].odds_ratio_ci_high
archive_language.focal_associations[0].empirical_p_positive,0.0001,results.json,archive_language.focal_associations[0].empirical_p_positive
archive_language.focal_associations[0].empirical_p_negative,1.0,results.json,archive_language.focal_associations[0].empirical_p_negative
archive_language.focal_associations[0].empirical_p_two_sided,0.0001,results.json,archive_language.focal_associations[0].empirical_p_two_sided
archive_language.focal_associations[0].valid_permutations,10000,results.json,archive_language.focal_associations[0].valid_permutations
archive_language.focal_associations[0].benjamini_hochberg_q,0.000211,results.json,archive_language.focal_associations[0].benjamini_hochberg_q
archive_language.focal_associations[1].category_n,1641,results.json,archive_language.focal_associations[1].category_n
archive_language.focal_associations[1].observed_count,1233,results.json,archive_language.focal_associations[1].observed_count
archive_language.focal_associations[1].observed_prevalence,0.75137,results.json,archive_language.focal_associations[1].observed_prevalence
archive_language.focal_associations[1].observed_prevalence_ci_low,0.72989,results.json,archive_language.focal_associations[1].observed_prevalence_ci_low
archive_language.focal_associations[1].observed_prevalence_ci_high,0.77168,results.json,archive_language.focal_associations[1].observed_prevalence_ci_high
archive_language.focal_associations[1].null_mean_count,264.978,results.json,archive_language.focal_associations[1].null_mean_count
archive_language.focal_associations[1].null_median_prevalence,0.16149,results.json,archive_language.focal_associations[1].null_median_prevalence
archive_language.focal_associations[1].null_prevalence_ci_low,0.14503,results.json,archive_language.focal_associations[1].null_prevalence_ci_low
archive_language.focal_associations[1].null_prevalence_ci_high,0.17916,results.json,archive_language.focal_associations[1].null_prevalence_ci_high
archive_language.focal_associations[1].observed_to_null_ratio,4.65321,results.json,archive_language.focal_associations[1].observed_to_null_ratio
archive_language.focal_associations[1].prevalence_difference,0.5899,results.json,archive_language.focal_associations[1].prevalence_difference
archive_language.focal_associations[1].odds_ratio,23.01244,results.json,archive_language.focal_associations[1].odds_ratio
archive_language.focal_associations[1].odds_ratio_ci_low,20.46959,results.json,archive_language.focal_associations[1].odds_ratio_ci_low
archive_language.focal_associations[1].odds_ratio_ci_high,25.87116,results.json,archive_language.focal_associations[1].odds_ratio_ci_high
archive_language.focal_associations[1].empirical_p_positive,0.0001,results.json,archive_language.focal_associations[1].empirical_p_positive
archive_language.focal_associations[1].empirical_p_negative,1.0,results.json,archive_language.focal_associations[1].empirical_p_negative
archive_language.focal_associations[1].empirical_p_two_sided,0.0001,results.json,archive_language.focal_associations[1].empirical_p_two_sided
archive_language.focal_associations[1].valid_permutations,10000,results.json,archive_language.focal_associations[1].valid_permutations
archive_language.focal_associations[1].benjamini_hochberg_q,0.000211,results.json,archive_language.focal_associations[1].benjamini_hochberg_q
archive_language.focal_associations[2].category_n,2335,results.json,archive_language.focal_associations[2].category_n
archive_language.focal_associations[2].observed_count,430,results.json,archive_language.focal_associations[2].observed_count
archive_language.focal_associations[2].observed_prevalence,0.18415,results.json,archive_language.focal_associations[2].observed_prevalence
archive_language.focal_associations[2].observed_prevalence_ci_low,0.16896,results.json,archive_language.focal_associations[2].observed_prevalence_ci_low
archive_language.focal_associations[2].observed_prevalence_ci_high,0.20039,results.json,archive_language.focal_associations[2].observed_prevalence_ci_high
archive_language.focal_associations[2].null_mean_count,321.467,results.json,archive_language.focal_associations[2].null_mean_count
archive_language.focal_associations[2].null_median_prevalence,0.13747,results.json,archive_language.focal_associations[2].null_median_prevalence
archive_language.focal_associations[2].null_prevalence_ci_low,0.1242,results.json,archive_language.focal_associations[2].null_prevalence_ci_low
archive_language.focal_associations[2].null_prevalence_ci_high,0.15118,results.json,archive_language.focal_associations[2].null_prevalence_ci_high
archive_language.focal_associations[2].observed_to_null_ratio,1.33762,results.json,archive_language.focal_associations[2].observed_to_null_ratio
archive_language.focal_associations[2].prevalence_difference,0.04648,results.json,archive_language.focal_associations[2].prevalence_difference
archive_language.focal_associations[2].odds_ratio,1.49044,results.json,archive_language.focal_associations[2].odds_ratio
archive_language.focal_associations[2].odds_ratio_ci_low,1.33559,results.json,archive_language.focal_associations[2].odds_ratio_ci_low
archive_language.focal_associations[2].odds_ratio_ci_high,1.66324,results.json,archive_language.focal_associations[2].odds_ratio_ci_high
archive_language.focal_associations[2].empirical_p_positive,0.0001,results.json,archive_language.focal_associations[2].empirical_p_positive
archive_language.focal_associations[2].empirical_p_negative,1.0,results.json,archive_language.focal_associations[2].empirical_p_negative
archive_language.focal_associations[2].empirical_p_two_sided,0.0001,results.json,archive_language.focal_associations[2].empirical_p_two_sided
archive_language.focal_associations[2].valid_permutations,10000,results.json,archive_language.focal_associations[2].valid_permutations
archive_language.focal_associations[2].benjamini_hochberg_q,0.000211,results.json,archive_language.focal_associations[2].benjamini_hochberg_q
archive_language.focal_associations[3].category_n,1412,results.json,archive_language.focal_associations[3].category_n
archive_language.focal_associations[3].observed_count,398,results.json,archive_language.focal_associations[3].observed_count
archive_language.focal_associations[3].observed_prevalence,0.28187,results.json,archive_language.focal_associations[3].observed_prevalence
archive_language.focal_associations[3].observed_prevalence_ci_low,0.25902,results.json,archive_language.focal_associations[3].observed_prevalence_ci_low
archive_language.focal_associations[3].observed_prevalence_ci_high,0.3059,results.json,archive_language.focal_associations[3].observed_prevalence_ci_high
archive_language.focal_associations[3].null_mean_count,270.675,results.json,archive_language.focal_associations[3].null_mean_count
archive_language.focal_associations[3].null_median_prevalence,0.19193,results.json,archive_language.focal_associations[3].null_median_prevalence
archive_language.focal_associations[3].null_prevalence_ci_low,0.1721,results.json,archive_language.focal_associations[3].null_prevalence_ci_low
archive_language.focal_associations[3].null_prevalence_ci_high,0.21105,results.json,archive_language.focal_associations[3].null_prevalence_ci_high
archive_language.focal_associations[3].observed_to_null_ratio,1.4704,results.json,archive_language.focal_associations[3].observed_to_null_ratio
archive_language.focal_associations[3].prevalence_difference,0.09017,results.json,archive_language.focal_associations[3].prevalence_difference
archive_language.focal_associations[3].odds_ratio,1.69134,results.json,archive_language.focal_associations[3].odds_ratio
archive_language.focal_associations[3].odds_ratio_ci_low,1.50117,results.json,archive_language.focal_associations[3].odds_ratio_ci_low
archive_language.focal_associations[3].odds_ratio_ci_high,1.9056,results.json,archive_language.focal_associations[3].odds_ratio_ci_high
archive_language.focal_associations[3].empirical_p_positive,0.0001,results.json,archive_language.focal_associations[3].empirical_p_positive
archive_language.focal_associations[3].empirical_p_negative,1.0,results.json,archive_language.focal_associations[3].empirical_p_negative
archive_language.focal_associations[3].empirical_p_two_sided,0.0001,results.json,archive_language.focal_associations[3].empirical_p_two_sided
archive_language.focal_associations[3].valid_permutations,10000,results.json,archive_language.focal_associations[3].valid_permutations
archive_language.focal_associations[3].benjamini_hochberg_q,0.000211,results.json,archive_language.focal_associations[3].benjamini_hochberg_q
archive_language.focal_associations[4].category_n,807,results.json,archive_language.focal_associations[4].category_n
archive_language.focal_associations[4].observed_count,195,results.json,archive_language.focal_associations[4].observed_count
archive_language.focal_associations[4].observed_prevalence,0.24164,results.json,archive_language.focal_associations[4].observed_prevalence
archive_language.focal_associations[4].observed_prevalence_ci_low,0.21337,results.json,archive_language.focal_associations[4].observed_prevalence_ci_low
archive_language.focal_associations[4].observed_prevalence_ci_high,0.27235,results.json,archive_language.focal_associations[4].observed_prevalence_ci_high
archive_language.focal_associations[4].null_mean_count,135.414,results.json,archive_language.focal_associations[4].null_mean_count
archive_language.focal_associations[4].null_median_prevalence,0.16729,results.json,archive_language.focal_associations[4].null_median_prevalence
archive_language.focal_associations[4].null_prevalence_ci_low,0.1425,results.json,archive_language.focal_associations[4].null_prevalence_ci_low
archive_language.focal_associations[4].null_prevalence_ci_high,0.19331,results.json,archive_language.focal_associations[4].null_prevalence_ci_high
archive_language.focal_associations[4].observed_to_null_ratio,1.44003,results.json,archive_language.focal_associations[4].observed_to_null_ratio
archive_language.focal_associations[4].prevalence_difference,0.07384,results.json,archive_language.focal_associations[4].prevalence_difference
archive_language.focal_associations[4].odds_ratio,1.5972,results.json,archive_language.focal_associations[4].odds_ratio
archive_language.focal_associations[4].odds_ratio_ci_low,1.35589,results.json,archive_language.focal_associations[4].odds_ratio_ci_low
archive_language.focal_associations[4].odds_ratio_ci_high,1.88145,results.json,archive_language.focal_associations[4].odds_ratio_ci_high
archive_language.focal_associations[4].empirical_p_positive,0.0001,results.json,archive_language.focal_associations[4].empirical_p_positive
archive_language.focal_associations[4].empirical_p_negative,1.0,results.json,archive_language.focal_associations[4].empirical_p_negative
archive_language.focal_associations[4].empirical_p_two_sided,0.0001,results.json,archive_language.focal_associations[4].empirical_p_two_sided
archive_language.focal_associations[4].valid_permutations,10000,results.json,archive_language.focal_associations[4].valid_permutations
archive_language.focal_associations[4].benjamini_hochberg_q,0.000211,results.json,archive_language.focal_associations[4].benjamini_hochberg_q
archive_language.focal_associations[5].category_n,552,results.json,archive_language.focal_associations[5].category_n
archive_language.focal_associations[5].observed_count,202,results.json,archive_language.focal_associations[5].observed_count
archive_language.focal_associations[5].observed_prevalence,0.36594,results.json,archive_language.focal_associations[5].observed_prevalence
archive_language.focal_associations[5].observed_prevalence_ci_low,0.32681,results.json,archive_language.focal_associations[5].observed_prevalence_ci_low
archive_language.focal_associations[5].observed_prevalence_ci_high,0.40692,results.json,archive_language.focal_associations[5].observed_prevalence_ci_high
archive_language.focal_associations[5].null_mean_count,134.401,results.json,archive_language.focal_associations[5].null_mean_count
archive_language.focal_associations[5].null_median_prevalence,0.24275,results.json,archive_language.focal_associations[5].null_median_prevalence
archive_language.focal_associations[5].null_prevalence_ci_low,0.20833,results.json,archive_language.focal_associations[5].null_prevalence_ci_low
archive_language.focal_associations[5].null_prevalence_ci_high,0.27899,results.json,archive_language.focal_associations[5].null_prevalence_ci_high
archive_language.focal_associations[5].observed_to_null_ratio,1.50296,results.json,archive_language.focal_associations[5].observed_to_null_ratio
archive_language.focal_associations[5].prevalence_difference,0.12246,results.json,archive_language.focal_associations[5].prevalence_difference
archive_language.focal_associations[5].odds_ratio,1.77281,results.json,archive_language.focal_associations[5].odds_ratio
archive_language.focal_associations[5].odds_ratio_ci_low,1.48819,results.json,archive_language.focal_associations[5].odds_ratio_ci_low
archive_language.focal_associations[5].odds_ratio_ci_high,2.11185,results.json,archive_language.focal_associations[5].odds_ratio_ci_high
archive_language.focal_associations[5].empirical_p_positive,0.0001,results.json,archive_language.focal_associations[5].empirical_p_positive
archive_language.focal_associations[5].empirical_p_negative,1.0,results.json,archive_language.focal_associations[5].empirical_p_negative
archive_language.focal_associations[5].empirical_p_two_sided,0.0001,results.json,archive_language.focal_associations[5].empirical_p_two_sided
archive_language.focal_associations[5].valid_permutations,10000,results.json,archive_language.focal_associations[5].valid_permutations
archive_language.focal_associations[5].benjamini_hochberg_q,0.000211,results.json,archive_language.focal_associations[5].benjamini_hochberg_q
archive_language.focal_associations[6].category_n,249,results.json,archive_language.focal_associations[6].category_n
archive_language.focal_associations[6].observed_count,80,results.json,archive_language.focal_associations[6].observed_count
archive_language.focal_associations[6].observed_prevalence,0.32129,results.json,archive_language.focal_associations[6].observed_prevalence
archive_language.focal_associations[6].observed_prevalence_ci_low,0.26638,results.json,archive_language.focal_associations[6].observed_prevalence_ci_low
archive_language.focal_associations[6].observed_prevalence_ci_high,0.38162,results.json,archive_language.focal_associations[6].observed_prevalence_ci_high
archive_language.focal_associations[6].null_mean_count,52.98,results.json,archive_language.focal_associations[6].null_mean_count
