major_category,category_label,category_n,feature,feature_label,analysis_role,observed_count,observed_prevalence,observed_prevalence_ci_low,observed_prevalence_ci_high,null_mean_count,null_median_prevalence,null_prevalence_ci_low,null_prevalence_ci_high,observed_to_null_ratio,prevalence_difference,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,empirical_p_positive,empirical_p_negative,empirical_p_two_sided,valid_permutations,stratification,benjamini_hochberg_q
カッパ,Kappa,1412,hydrology,Water setting,construct check,1101,0.77975,0.75739,0.80059,326.154,0.23088,0.21034,0.25212,3.3757,0.54876,15.72207,13.8192,17.88697,0.0001,1.0,0.0001,10000,prefecture,0.000211
ユウレイ,Yurei,1641,death_ritual,Death ritual,construct check,1233,0.75137,0.72989,0.77168,264.978,0.16149,0.14503,0.17916,4.65321,0.5899,23.01244,20.46959,25.87116,0.0001,1.0,0.0001,10000,prefecture,0.000211
ヘビ・リュウ,Snake/Dragon,2335,strict_boundary_interface,Strict interface,exploratory,430,0.18415,0.16896,0.20039,321.467,0.13747,0.1242,0.15118,1.33762,0.04648,1.49044,1.33559,1.66324,0.0001,1.0,0.0001,10000,prefecture,0.000211
カッパ,Kappa,1412,livelihood,Livelihood,exploratory,398,0.28187,0.25902,0.3059,270.675,0.19193,0.1721,0.21105,1.4704,0.09017,1.69134,1.50117,1.9056,0.0001,1.0,0.0001,10000,prefecture,0.000211
オニ,Oni,807,mobility,Mobility,post-hoc exploratory screen,195,0.24164,0.21337,0.27235,135.414,0.16729,0.1425,0.19331,1.44003,0.07384,1.5972,1.35589,1.88145,0.0001,1.0,0.0001,10000,prefecture,0.000211
イヌガミ,Inugami,552,dwelling,Dwelling,post-hoc exploratory screen,202,0.36594,0.32681,0.40692,134.401,0.24275,0.20833,0.27899,1.50296,0.12246,1.77281,1.48819,2.11185,0.0001,1.0,0.0001,10000,prefecture,0.000211
ヒノタマ,Hitodama,249,taboo_time_weather,"Taboo, time, or weather",post-hoc exploratory screen,80,0.32129,0.26638,0.38162,52.98,0.21285,0.16466,0.26506,1.50999,0.10851,1.74384,1.33483,2.27818,0.0001,1.0,0.0001,10000,prefecture,0.000211
